detector_name,route,direction,lat,lon,lane
3381,I-35E,NB,44.90924,-93.14292,0
3382,I-35E,NB,44.90956,-93.1431,1
3383,I-35E,NB,44.90956,-93.1431,2
3475,I-35E,NB,44.90956,-93.1431,3
3384,I-35E,NB,44.91371,-93.14416,0
3385,I-35E,NB,44.91509,-93.14421,1
3386,I-35E,NB,44.91509,-93.14421,2
3344,I-35E,NB,44.91529,-93.14423,0
3387,I-35E,NB,44.91529,-93.14423,0
4511,I-35E,NB,44.91529,-93.14423,0
3388,I-35E,NB,44.92389,-93.14483,0
3389,I-35E,NB,44.92558,-93.14489,1
3390,I-35E,NB,44.92558,-93.14489,2
5007,I-35E,NB,44.92658,-93.1448,0
3391,I-35E,NB,44.92946,-93.14293,1
3392,I-35E,NB,44.92946,-93.14293,2
3345,I-35E,NB,44.93014,-93.14189,0
3393,I-35E,NB,44.93014,-93.14189,0
4512,I-35E,NB,44.93014,-93.14189,0
3394,I-35E,NB,44.93144,-93.13367,1
3395,I-35E,NB,44.93144,-93.13367,2
3346,I-35E,NB,44.93144,-93.13294,0
3396,I-35E,NB,44.93144,-93.13294,0
4513,I-35E,NB,44.93144,-93.13294,0
3397,I-35E,NB,44.93497,-93.12549,1
3398,I-35E,NB,44.93497,-93.12549,2
3347,I-35E,NB,44.93596,-93.12397,0
3399,I-35E,NB,44.93596,-93.12397,0
4514,I-35E,NB,44.93596,-93.12397,0
3400,I-35E,NB,44.93975,-93.11587,0
3401,I-35E,NB,44.93991,-93.11547,1
3402,I-35E,NB,44.93991,-93.11547,2
3403,I-35E,NB,44.94491,-93.10691,0
T3589,I-35E,NB,44.94518,-93.10649,1
T3590,I-35E,NB,44.94518,-93.10649,2
3404,I-35E,NB,44.9459,-93.10546,1
3405,I-35E,NB,44.9459,-93.10546,2
2357,I-35E,NB,44.94707,-93.10384,0
2372,I-35E,NB,44.94847,-93.10265,0
T3593,I-35E,NB,44.94934,-93.10211,1
T3594,I-35E,NB,44.94934,-93.10211,2
2370,I-35E,NB,44.94965,-93.10189,1
2371,I-35E,NB,44.94965,-93.10189,2
2373,I-35E,NB,44.95388,-93.09314,1
2374,I-35E,NB,44.95388,-93.09314,2
T3597,I-35E,NB,44.95405,-93.09279,1
T3598,I-35E,NB,44.95405,-93.09279,2
2375,I-35E,NB,44.95443,-93.09204,1
2376,I-35E,NB,44.95443,-93.09204,2
2423,I-35E,NB,44.95443,-93.09204,0
4515,I-35E,NB,44.95443,-93.09204,0
2377,I-35E,NB,44.9548,-93.09036,1
2378,I-35E,NB,44.95538,-93.09088,0
2379,I-35E,NB,44.95538,-93.09088,0
2488,I-35E,NB,44.95538,-93.09088,0
4516,I-35E,NB,44.95538,-93.09088,0
T3601,I-35E,NB,44.95881,-93.09061,1
T3602,I-35E,NB,44.95881,-93.09061,2
T3603,I-35E,NB,44.95881,-93.09061,3
T3604,I-35E,NB,44.95881,-93.09061,4
T3605,I-35E,NB,44.95881,-93.09061,5
2381,I-35E,NB,44.95991,-93.09057,1
2382,I-35E,NB,44.95991,-93.09057,2
2383,I-35E,NB,44.95991,-93.09057,3
2384,I-35E,NB,44.95991,-93.09057,4
7127,I-35E,NB,44.95991,-93.09057,5
7128,I-35E,NB,44.96612,-93.09052,0
10009,I-35E,NB,44.96653,-93.09045,0
7129,I-35E,NB,44.96653,-93.09045,0
7130,I-35E,NB,44.96653,-93.09045,0
2389,I-35E,NB,44.97185,-93.08854,1
2390,I-35E,NB,44.97185,-93.08854,2
2391,I-35E,NB,44.97185,-93.08854,3
7131,I-35E,NB,44.97185,-93.08854,4
7132,I-35E,NB,44.97185,-93.08854,5
2392,I-35E,NB,44.97448,-93.08847,0
2393,I-35E,NB,44.97824,-93.08859,1
2394,I-35E,NB,44.97824,-93.08859,2
2395,I-35E,NB,44.97824,-93.08859,3
7133,I-35E,NB,44.97824,-93.08859,4
2396,I-35E,NB,44.97998,-93.08863,0
2493,I-35E,NB,44.97998,-93.08863,1
2494,I-35E,NB,44.97998,-93.08863,2
4518,I-35E,NB,44.97998,-93.08863,0
2400,I-35E,NB,44.98666,-93.08887,0
2564,I-35E,NB,44.98666,-93.08887,0
2397,I-35E,NB,44.98758,-93.08891,1
2398,I-35E,NB,44.98758,-93.08891,2
2399,I-35E,NB,44.98758,-93.08891,3
7561,I-35E,NB,44.98758,-93.08891,4
2401,I-35E,NB,44.9926,-93.08913,1
2402,I-35E,NB,44.9926,-93.08913,2
2403,I-35E,NB,44.9926,-93.08913,3
7560,I-35E,NB,44.9926,-93.08913,4
2404,I-35E,NB,44.99469,-93.08921,0
2495,I-35E,NB,44.99469,-93.08921,0
2568,I-35E,NB,44.99469,-93.08921,0
4519,I-35E,NB,44.99469,-93.08921,0
2405,I-35E,NB,44.99643,-93.08927,0
2406,I-35E,NB,45.00008,-93.08936,1
2407,I-35E,NB,45.00008,-93.08936,2
2408,I-35E,NB,45.00008,-93.08936,3
7559,I-35E,NB,45.00008,-93.08936,4
2409,I-35E,NB,45.00225,-93.0894,0
2496,I-35E,NB,45.00225,-93.0894,0
4520,I-35E,NB,45.00225,-93.0894,0
2410,I-35E,NB,45.00496,-93.08944,1
2411,I-35E,NB,45.00496,-93.08944,2
2412,I-35E,NB,45.00496,-93.08944,3
7558,I-35E,NB,45.00496,-93.08944,4
2413,I-35E,NB,45.01012,-93.08952,0
2497,I-35E,NB,45.01012,-93.08952,0
4521,I-35E,NB,45.01012,-93.08952,0
2414,I-35E,NB,45.012,-93.08957,1
2415,I-35E,NB,45.012,-93.08957,2
2416,I-35E,NB,45.012,-93.08957,3
7557,I-35E,NB,45.012,-93.08957,4
2417,I-35E,NB,45.01348,-93.08957,0
2498,I-35E,NB,45.01348,-93.08957,0
4522,I-35E,NB,45.01348,-93.08957,0
2418,I-35E,NB,45.01989,-93.08961,0
7553,I-35E,NB,45.02193,-93.08958,1
7554,I-35E,NB,45.02193,-93.08958,2
7555,I-35E,NB,45.02193,-93.08958,3
7556,I-35E,NB,45.02193,-93.08958,4
2419,I-35E,NB,45.02306,-93.08956,1
2420,I-35E,NB,45.02306,-93.08956,2
2421,I-35E,NB,45.02306,-93.08956,3
5472,I-35E,NB,45.02306,-93.08956,4
2422,I-35E,NB,45.02893,-93.08943,0
2499,I-35E,NB,45.02893,-93.08943,0
4523,I-35E,NB,45.02893,-93.08943,0
5474,I-35E,NB,45.03054,-93.0894,1
5475,I-35E,NB,45.03054,-93.0894,2
