detector_id,name,route,direction,lat,lon,lane
T9361,Mainline sensor,I-94,EB,44.94832,-92.9446,2
T9362,Mainline sensor,I-94,EB,44.94832,-92.9446,3
T9363,Mainline sensor,I-94,EB,44.94832,-92.9446,4
T9364,Mainline sensor,I-94,WB,44.94859,-92.94463,1
T9365,Mainline sensor,I-94,WB,44.94859,-92.94463,2
T9366,Mainline sensor,I-94,WB,44.94859,-92.94463,3
T9367,Mainline sensor,I-94,WB,44.94859,-92.94463,4
T9368,Mainline sensor,I-94,WB,44.94859,-92.94463,5
T9369,Mainline sensor,I-94,EB,44.94864,-92.93188,1
T9370,Mainline sensor,I-94,EB,44.94864,-92.93188,2
T9371,Mainline sensor,I-94,EB,44.94864,-92.93188,3
T9372,Mainline sensor,I-94,WB,44.94887,-92.93128,1
T9373,Mainline sensor,I-94,WB,44.94887,-92.93128,2
T9374,Mainline sensor,I-94,WB,44.94887,-92.93128,3
T9375,Mainline sensor,I-94,EB,44.94847,-92.92222,1
T9376,Mainline sensor,I-94,EB,44.94847,-92.92222,2
T9377,Mainline sensor,I-94,EB,44.94847,-92.92222,3
T9378,Mainline sensor,,,44.94868,-92.9222,1
T9379,Mainline sensor,,,44.94868,-92.9222,2
T9380,Mainline sensor,,,44.94868,-92.9222,3
T9381,Mainline sensor,I-94,EB,44.94847,-92.91115,1
T9382,Mainline sensor,I-94,EB,44.94847,-92.91115,2
T9383,Mainline sensor,I-94,EB,44.94847,-92.91115,3
T9384,Mainline sensor,,,44.94866,-92.9112,1
T9385,Mainline sensor,,,44.94866,-92.9112,2
T9386,Mainline sensor,,,44.94866,-92.9112,3
T9387,Mainline sensor,I-94,EB,44.94843,-92.90189,1
T9388,Mainline sensor,I-94,EB,44.94843,-92.90189,2
T9389,Mainline sensor,I-94,EB,44.94843,-92.90189,3
T9390,Mainline sensor,I-94,WB,44.94867,-92.90192,1
T9391,Mainline sensor,I-94,WB,44.94867,-92.90192,2
T9392,Mainline sensor,I-94,WB,44.94867,-92.90192,3
T9393,Mainline sensor,I-94,WB,45.50177,-94.26704,1
T9394,Mainline sensor,I-94,WB,45.50177,-94.26704,2
T9395,Mainline sensor,I-94,WB,45.50584,-94.27236,1
T9396,Mainline sensor,I-94,WB,45.50584,-94.27236,2
T9397,Mainline sensor,I-94,WB,45.51088,-94.27876,1
T9398,Mainline sensor,I-94,WB,45.51088,-94.27876,2
